[ 6646003ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=Ymlgr0FbL_w3oPf--93oF' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 6654115ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=Ymlgr0FbL_w3oPf--93oF' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 6660949ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=Ymlgr0FbL_w3oPf--93oF' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 6668948ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=Ymlgr0FbL_w3oPf--93oF' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 6677037ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=Ymlgr0FbL_w3oPf--93oF' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 6684425ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=Ymlgr0FbL_w3oPf--93oF' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 6693293ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=Ymlgr0FbL_w3oPf--93oF' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 6701077ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=Ymlgr0FbL_w3oPf--93oF' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 6701197ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_115brz8._.js:2431
[ 6704377ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3002/_next/webpack-hmr?id=Wybe2LJw6zT9k_lA7YP7V' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://127.0.0.1:3002/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
